LAT_NAME(3FHL)    HYPERLEDA_NAME            COUNTERPART_NAME      TYPE_JET_AGN    RA        DEC       (m-M)     ERR_(m-M)    DL[Mpc]   ERR_LN(DL)   FLUX(0.01-1TeV)[1E-10cm-2.s-1] ERR_FLUX    FLAG_ApJL2018(No/Yes) 
J1325.5-4300      NGC5128                   CenA                  RDG             201.37    -43.02    27.83     0.03         3.68      0.014        1.54                           0.25        Y                     
J1230.8+1223      NGC4486                   M87                   RDG             187.71    12.39     31.12     0.06         16.7      0.028        0.98                           0.20        Y                     
J0322.6-3712e     NGC1316                   FornaxA               RDG             50.67     -37.21    31.55     0.03         20.4      0.014        0.48                           0.16        N                     
J1346.2-6026      PGC087418                 CenB                  RDG             206.70    -60.41    33.71     0.29         55.2      0.134        0.64                           0.18        N                     
J0319.8+4130      NGC1275                   NGC1275               RDG             49.95     41.51     34.46     0.08         78.0      0.037        14.17                          0.67        Y                     
J0316.6+4120      IC0310                    IC310                 RDG             49.18     41.32     34.60     0.19         83.2      0.087        0.43                           0.13        Y                     
J0153.5+7115      PGC137853                 TXS0149+710           BCU             28.36     71.25     35.07     0.15         103.3     0.069        0.44                           0.12        Y                     
J0308.4+0408      NGC1218                   NGC1218               RDG             47.11     4.11      35.48     0.13         124.7     0.060        0.54                           0.16        N                     
J1104.4+3812      UGC06132                  Mkn421                BLL             166.10    38.21     35.63     0.12         133.7     0.055        59.35                          1.38        Y                     
J1653.8+3945      UGC10599                  Mkn501                BLL             253.47    39.76     35.91     0.10         152.1     0.046        19.17                          0.76        Y                     
J0131.1+5546      PGC2513233                TXS0128+554           BCU             22.81     55.75     36.06     0.10         162.9     0.046        0.33                           0.12        N                     
J1543.6+0452      PGC055875                 CGCG050-083           BCU             235.89    4.87      36.26     0.09         178.6     0.041        0.69                           0.17        N                     
J0223.0-1119      6dFJ0223143-111738        1RXSJ022314.6-111741  BLL             35.81     -11.29    36.31     0.09         182.8     0.041        0.40                           0.13        N                     
J2347.0+5142      2MASXJ23470479+5142179    1ES2344+514           BLL             356.76    51.69     36.47     0.08         196.8     0.037        3.32                           0.31        Y                     
J0816.4-1311      6dFJ0816272-131152        PMNJ0816-1311         BLL             124.11    -13.20    36.51     0.08         200.4     0.037        2.71                           0.33        N                     
J1136.5+7009      PGC035899                 Mkn180                BLL             174.11    70.16     36.54     0.08         203.2     0.037        1.74                           0.21        Y                     
J1959.9+6508      PGC2674942                1ES1959+650           BLL             299.97    65.16     36.63     0.08         211.8     0.037        8.43                           0.46        Y                     
J1647.6+4950      PGC2354835                SBS1646+499           BLL             251.90    49.83     36.64     0.08         212.8     0.037        0.48                           0.12        N                     
J1517.6-2422      ESO514-001                APLibrae              BLL             229.42    -24.37    36.68     0.07         216.8     0.032        3.76                           0.37        Y                     
J0214.5+5145      PGC2399398                TXS0210+515           BLL             33.55     51.77     36.70     0.11         218.8     0.051        0.42                           0.12        Y                     
J1806.8+6950      UGC11130                  3C371                 BLL             271.71    69.82     36.77     0.07         225.9     0.032        1.30                           0.18        N                     
J1353.0-4413      PGC3096297                PKS1349-439           BLL             208.24    -44.21    36.79     0.07         228.0     0.032        0.33                           0.12        N                     
J0200.1-4109      6dFJ0200209-410936        1RXSJ020021.0-410936  BLL             30.09     -41.16    36.85     0.07         234.4     0.032        0.51                           0.14        N                     
J0627.1-3528      PGC2824793                PKS0625-35            BLL             96.78     -35.49    36.89     0.07         238.8     0.032        1.81                           0.26        Y                     
J2039.4+5219      2MASXJ20392354+5219498    1ES2037+521           BLL             309.85    52.33     36.89     0.07         238.8     0.032        0.58                           0.15        N                     
J0523.0-3627      ESO362-021                PKS0521-36            BLL             80.76     -36.46    36.91     0.07         241.0     0.032        1.17                           0.21        N                     
