Auger_Id Dec RA E UTC Th Ph N_stations F
40011121600 -11.840 208.900 11.26 1072969615 50.060 164.660 6 1
40011212100 -11.730 270.600 4.902 1072970520 24.950 69.150 6 1
40013266200 5.620 340.500 6.980 1072991061 41.540 100.800 6 1
40017660200 -41.700 231.600 4.638 1073035001 46.730 -26.860 6 1
40020757300 -14.960 185.300 4.216 1073052372 55.880 174.390 6 1
40033271900 11.620 6.730 5.124 1073163918 49.620 68.070 6 1
40033784700 -47.770 334.700 11.10 1073169046 29.730 -143.850 6 1
40040223300 -82.530 228.100 7.830 1073219832 47.230 -89.170 6 1
40043369400 -18.610 53.850 5.071 1073251293 54.340 1.590 5 2
40056241600 18.450 113.900 4.485 1073366415 53.850 92.280 6 1
40061429000 -15.140 286.600 4.511 1073404689 22.380 61.530 6 1
40062972900 -16.660 319.300 4.414 1073420128 26.450 140.530 6 1
40067531300 -61.660 258.500 5.892 1073465712 58.420 -56.110 5 1
40070379300 -5.810 178.600 11.46 1073480592 57.950 162.680 5 1
40074627400 1.260 64.300 4.070 1073523073 38.890 67.510 6 1
40078490500 -50.810 243.400 5.997 1073561704 27.450 -44.080 6 1
40094712600 3.430 60.470 10.02 1073696725 39.010 82.880 6 1
40095322200 -36.740 43.150 7.594 1073702821 30.710 -165.960 6 1
40097671700 -6.450 173.900 4.728 1073726316 29.410 101.700 5 1
40106192500 -37.010 166.800 6.429 1073797924 38.420 -16.990 6 1
40117099900 -8.890 162.000 6.629 1073893398 26.790 80.360 6 1
40121228000 3.650 248.300 8.725 1073921079 45.520 126.280 6 1
40130504000 -38.320 215.600 5.620 1074000239 22.830 -164.030 6 1
40131234400 -27.230 301.800 15.95 1074007543 24.530 11.610 6 1
40132328900 -46.460 280.900 4.304 1074018488 31.320 -146.990 6 1
40136844900 -29.970 177.900 10.20 1074063648 24.870 4.150 6 1
40142577000 -37.150 260.900 4.350 1074107369 55.710 -155.620 6 1
40147467500 -20.750 142.400 6.255 1074156274 32.830 162.600 6 1
40153217700 -32.420 33.190 12.81 1074200176 28.000 -3.830 6 1
40161115900 -48.320 241.800 7.997 1074265558 26.000 -140.630 5 1
40171013700 -17.720 320.400 4.215 1074350936 48.300 7.550 5 2
40171514100 -7.750 319.700 9.957 1074355940 38.640 38.600 6 1
40177387100 4.100 151.100 8.919 1074414670 45.630 125.340 5 2
40181076600 8.410 287.500 7.412 1074437965 45.790 69.760 6 1
40184443900 13.970 56.790 12.69 1074471638 49.350 85.940 6 1
40187682300 -15.400 144.800 14.76 1074504022 44.130 164.790 5 1
40188576900 -11.730 202.800 5.203 1074512968 31.720 137.890 6 1
40190108200 -30.900 295.900 47.62 1074514681 51.560 -13.900 6 1
40193155900 -59.010 58.300 8.021 1074545158 43.800 -51.130 6 1
40193661500 -31.290 78.700 4.722 1074550214 46.980 -12.030 6 1
40202296800 -23.360 322.000 4.566 1074622967 12.430 106.830 6 1
40203392900 2.230 357.000 11.56 1074633928 40.070 113.200 6 1
40215036600 5.510 101.300 4.687 1074736765 44.990 61.280 6 1
40218632400 -15.300 259.600 5.694 1074772723 32.110 31.450 6 1
40220475200 -21.410 212.200 5.831 1074777551 37.190 168.810 6 1
40222657100 -17.930 16.460 10.28 1074799370 34.380 21.600 6 1
40224091700 -37.700 112.900 4.965 1074813716 55.040 -24.730 6 1
40226939700 -18.610 195.700 11.77 1074842196 34.230 20.220 6 1
40274345900 -56.200 118.400 6.607 1075248258 44.960 -46.890 6 1
40292011300 -23.030 341.800 5.580 1075397712 20.630 31.830 6 1
40294069700 -64.930 53.210 4.703 1075418296 29.710 -86.140 6 1
40297886400 -40.810 199.500 4.869 1075456463 8.750 -138.490 6 1
40298383900 -23.600 242.500 7.258 1075461438 16.510 41.570 6 1
40301386600 -42.480 287.800 7.701 1075477865 10.440 -134.320 5 1
40312304600 13.290 308.800 19.80 1075573445 55.480 123.980 6 1
40313127800 -76.430 56.020 4.095 1075581677 45.680 -76.690 6 1
40314616600 -44.160 65.030 4.334 1075596565 10.990 -124.000 6 1
40326496500 -57.030 75.660 34.64 1075701764 54.390 -130.700 6 1
40327673500 -11.460 201.400 10.89 1075713534 23.840 92.330 6 1
40331343200 -52.040 229.400 4.369 1075736631 50.680 -137.970 5 1
40333464600 -6.210 78.530 8.947 1075757845 55.110 19.540 6 1
40342062100 20.990 344.500 4.626 1075830220 58.080 73.810 6 1
40342164400 -29.100 302.700 4.387 1075831243 27.200 175.540 6 1
40345433500 11.380 82.720 5.286 1075863934 53.750 124.820 6 1
40352153900 -60.850 244.900 5.344 1075917538 59.530 -124.350 6 1
40353663900 -10.010 71.000 5.351 1075932638 39.440 31.870 6 1
40361635300 -54.660 279.600 5.645 1075998752 30.530 -130.010 6 1
40365669300 5.440 103.100 5.219 1076039092 44.780 118.180 6 1
40365823400 -43.350 177.800 4.788 1076040633 37.980 -27.330 6 1
40367582300 -37.270 197.100 12.19 1076058222 4.680 -154.510 6 1
40368103700 -61.440 163.800 6.229 1076063436 45.500 -125.590 6 1
40373822700 -56.360 74.780 4.910 1076107026 28.380 -56.460 6 1
40380440800 -2.490 271.200 5.874 1076159607 33.270 80.780 6 1
40381878900 5.480 348.600 8.602 1076173988 46.010 58.130 6 1
40385026900 -36.370 117.000 7.670 1076205468 15.640 -9.510 6 1
40388329000 -24.880 196.900 4.439 1076238489 34.960 173.340 5 2
40388381800 -34.860 199.500 4.705 1076239017 31.090 -169.570 6 1
40394597900 -36.440 17.040 4.734 1076287578 50.640 -158.880 6 1
40398454200 5.210 283.400 8.416 1076326141 56.250 37.440 6 1
40402943500 -62.500 348.400 6.023 1076357434 31.020 -111.530 6 1
40406048600 -67.840 65.610 6.274 1076388485 52.630 -117.460 6 1
40408124300 -62.240 200.600 4.346 1076409242 32.230 -114.540 6 1
40410079900 -31.530 217.700 8.745 1076415198 30.330 -176.770 6 1
40411868600 -64.550 43.920 4.538 1076433085 52.310 -58.300 6 1
40425049800 -40.520 111.100 5.895 1076551297 8.490 -39.800 6 1
40428132000 -55.520 205.700 16.00 1076582119 26.790 -122.990 6 1
40432955300 -54.590 5.630 6.180 1076616752 20.510 -107.280 6 1
40442809800 -37.390 27.170 6.716 1076701697 13.190 -13.930 6 1
40444818500 -54.450 132.300 6.368 1076721784 32.110 -48.280 6 1
40453067700 -64.920 320.500 4.836 1076790676 46.760 -120.990 6 1
40453506800 7.700 74.690 10.43 1076795067 53.420 46.960 6 1
