# l, b
-36.000531806783115 -17.999829779282503
-36.00313760369037 -17.998951691398723
-36.014746799742944 -17.994149547371318
-36.054878991841576 -17.96302400255594
-36.08224739327623 -17.926916864306776
-36.051789769195395 -17.86526923437654
-35.97877385902676 -17.81626629062147
-35.91091000812337 -17.830979960541345
-35.90447100160074 -17.858808666766457
-35.92304913100756 -17.887849107894954
-35.97076249145095 -17.936664496503735
-36.04269344925571 -17.95361545054366
-36.122504594220985 -17.912606844864523
-36.196010748962124 -17.83999153575502
-36.270423385734134 -17.754518228407516
-36.343778054830565 -17.68571338890096
-36.4197867519579 -17.657185056569226
-36.4642810502849 -17.650519410622866
-36.484581647717846 -17.66378633246292
-36.48904122075794 -17.698460289549608
-36.50550662239492 -17.76043718496804
-36.538729061593656 -17.822749520152314
-36.57313907693367 -17.884549764685055
-36.60492132014691 -17.951486554070367
-36.63483570972523 -18.015365336854774
-36.67015855213287 -18.089977463632014
-36.69204732541292 -18.144598879015604
-36.69298874073077 -18.16417138579893
-36.68195989957442 -18.16822403787543
-36.6609883374842 -18.15954978625566
-36.6418513776103 -18.140224902659504
-36.61605814444859 -18.127358175826313
-36.58882064993109 -18.141695477110613
-36.563879792441526 -18.181635506950762
-36.53268527164268 -18.238878391132694
-36.49772290916757 -18.310102124346557
-36.45560252791111 -18.40566389967122
-36.40634213891929 -18.518503706904976
-36.3623277496575 -18.643718752724375
-36.33186833413796 -18.746656901026878
-36.287418014996916 -18.86832759399783
-36.22877237097583 -18.99255293378138
-36.1796806656146 -19.09822160160618
-36.14337454950919 -19.194268079758192
-36.11826680451306 -19.273068189111093
-36.095943892082346 -19.349260441984846
-36.0753753470178 -19.42566818893477
-36.04176225503315 -19.543920147561707
-36.02511913468203 -19.61630619163642
-36.01355842891125 -19.69182972840715
-36.00719878808527 -19.772801702124198
-36.00385084666097 -19.847192870058578
-36.00862530045294 -19.928593187049334
-36.015961119850935 -20.00109440538513
-36.0243159026258 -20.06983311751995
-36.03542762809029 -20.141186145375464
-36.04416186742513 -20.20542413867472
-36.05405973051961 -20.26812586160478
-36.060124271121516 -20.329388953734064
-36.06392399125826 -20.391364309544006
-36.06421601050349 -20.44677323592689
-36.06471952116318 -20.50521500030295
-36.06641931245743 -20.602690651900996
-36.06402945178078 -20.71099883631623
-36.055981000323136 -20.825494259079903
-36.04998454105795 -20.9048110921384
-36.046873997923555 -20.975906044225848
-36.04801533706951 -21.042531745859836
-36.050230127767335 -21.1101641885073
-36.05073932291153 -21.180661001755695
-36.05165730389287 -21.249135656399304
-36.0547223274739 -21.31601320207455
-36.05863969589787 -21.378872838906673
-36.06071057996853 -21.4477109452028
-36.05437164381873 -21.515566956377114
-36.031702557554375 -21.5704280764801
-36.00057656835403 -21.61457214405143
-35.97137798121639 -21.64977819697446
-35.94566183356866 -21.67123754984985
-35.92699162260872 -21.68020738693544
-35.906684785540186 -21.687607196106935
-35.88073662158821 -21.698964191655143
-35.852114005613515 -21.717664168642152
-35.82576359015783 -21.74144256723107
-35.80061903472666 -21.77031796651518
-35.77995636943684 -21.80497939006929
-35.7633706518585 -21.843054425311855
-35.75182203380058 -21.87292838123642
-35.7378544758544 -21.9066184228977
-35.725406155052156 -21.942018252196313
-35.71373676394679 -21.97909816768123
-35.705154487833454 -22.01792251931629
-35.70070668461186 -22.047337223014516
-35.695643074795775 -22.074685297375698
-35.68884486568653 -22.107565068236603
-35.68081465999195 -22.137167785985483
-35.67465046234469 -22.16006687516926
-35.66745722561018 -22.183883251962364
-35.65822866367094 -22.210568160425122
-35.64738230183261 -22.24050702519741
-35.63731704876701 -22.270938863650013
-35.63278669901936 -22.301545656006493
-35.63449035342126 -22.33447997036663
-35.640851730779595 -22.3699951309403
-35.653257080558625 -22.42330442783513
-35.6617208615106 -22.46245912063721
-35.67066567055916 -22.507416816920777
-35.68053433082499 -22.550817172424104
-35.69005437179776 -22.593047554545716
-35.69640700677046 -22.62940946623548
-35.703267128920636 -22.665766199734477
-35.70996913619692 -22.699888183063344
-35.715972448953266 -22.738122566202698
-35.718684064316044 -22.76751498040273
-35.719531981006604 -22.802289087033504
-35.7194455920049 -22.843921078325813
-35.715752362966136 -22.89300982931973
-35.709452267716685 -22.941749468687156
-35.70039822346106 -22.990434261617366
-35.69389969328555 -23.04057000998281
-35.689735402546106 -23.096235900423114
-35.68560779885619 -23.15285436477192
-35.68358166918116 -23.21099233494902
-35.68274149586212 -23.260438230295986
-35.68192596757999 -23.303888861768502
-35.680624775778384 -23.34817849896579
-35.67789101899852 -23.39893374206907
-35.673566610914314 -23.45394426608983
-35.66582933755493 -23.525416463652817
-35.65888508392199 -23.600317034337472
-35.655953660067 -23.67258979521112
-35.65486572365134 -23.73988343927563
-35.65434244242443 -23.80663584894907
-35.652886804425 -23.892903546721598
-35.64935813893718 -23.976680492020122
-35.64478542824091 -24.07691608265459
-35.64392818080882 -24.150869449943478
-35.64633146618336 -24.233265392752433
-35.65123061983187 -24.316841447053896
-35.65879334727599 -24.405257254643935
-35.66743069822998 -24.497380492652876
-35.680093408181165 -24.618696162960113
-35.690494889245485 -24.75692942106127
-35.697905310347274 -24.8922905628455
-35.6976687324218 -25.01935993431704
-35.69771069442338 -25.10990426340166
-35.70058699957089 -25.192904709620457
-35.703920280012916 -25.273122651701996
-35.705259471824796 -25.329722368839388
-35.70577187436461 -25.387430846695732
-35.706594339121956 -25.44891131511883
-35.7078764854685 -25.511440100616134
-35.709122759483066 -25.575786890011187
-35.70955639940562 -25.644623403984827
-35.70819968114525 -25.7190365575541
-35.70461343550404 -25.788442288120123
-35.69957310616781 -25.86274389531954
-35.692825308834465 -25.936643534683135
-35.684288028658024 -26.009330520681594
-35.671739088132306 -26.091935723607445
-35.6575964995497 -26.174112751365495
-35.6460439901935 -26.242500088018087
-35.63628071607901 -26.310741520511492
-35.6259048382766 -26.379087339733825
-35.61492888316908 -26.446678896917806
-35.60619329665995 -26.50777374035655
-35.599027867107154 -26.565490344337856
-35.59163806244633 -26.62102705726757
-35.581441773358165 -26.681519716043613
-35.570334484675904 -26.743418405965937
-35.557916163920765 -26.80685219075281
-35.54480550316543 -26.87195746940078
-35.53402480459493 -26.94195580560982
-35.525586745443505 -27.013074217316845
-35.52031785122316 -27.080168550993527
-35.51752758151303 -27.14454271929208
-35.515632764989284 -27.20330556065781
-35.514221695112525 -27.259592103194436
-35.51272321680255 -27.316980509036046
-35.51252402640227 -27.36943265273097
-35.51349948412016 -27.421097684278774
-35.516378890357416 -27.463553410133436
-35.51997294654596 -27.505981600173545
-35.52413764659886 -27.559930985879255
-35.52864509209455 -27.625663592850923
-35.533977301779586 -27.691131225721456
-35.542219708060145 -27.77579528237489
-35.54817261739384 -27.838605949145844
-35.55361033379721 -27.910591046685347
-35.55903901619498 -27.975273271383845
-35.56587052660945 -28.046708904521413
-35.576483760835075 -28.132253256747724
-35.58698449482625 -28.19939492217061
-35.59945932495429 -28.26769493405846
-35.61476711901196 -28.35235351127603
-35.62963388525032 -28.439229928747995
-35.644294603858214 -28.529083177302965
-35.65824921566675 -28.6184458002757
-35.674644185808404 -28.707197279016736
-35.6888156171452 -28.77838966500185
-35.702211909504854 -28.847157538427886
-35.71514943826441 -28.919543999624203
-35.72603605862613 -28.989198503215803
-35.73606627034061 -29.05132718072619
-35.74617632978999 -29.11450103406257
-35.75589566983733 -29.17506960753905
-35.76627763882132 -29.238563981070577
-35.77774117035928 -29.304443085441406
-35.78777620590078 -29.36991864252851
-35.80293755226422 -29.46414598760124
-35.81471870469374 -29.531700284125247
-35.82550050549598 -29.599074920833644
-35.8369549380285 -29.673842477744152
-35.84899213443114 -29.755558608889803
-35.86136499491544 -29.844872309188283
-35.871299520234494 -29.919195125290333
-35.88070365408544 -29.98316663792864
-35.891316773497124 -30.05435346283202
-35.90260871640942 -30.12517743700973
-35.915366402790326 -30.202047711126603
-35.92748256084694 -30.275640333455446
-35.94011581723838 -30.34928682871919
-35.95332663274209 -30.429955585973737
-35.96483977355066 -30.507594625613873
-35.97681371479551 -30.595284241758957
-35.98640694441986 -30.661466174626163
-35.99639462490909 -30.7273270121692
-36.00651609875921 -30.790220058555754
-36.01819543012715 -30.858480796405566
-36.02973160754426 -30.923307146640443
-36.03988733115319 -30.987966040879762
-36.048516689325396 -31.044176154547714
-36.05730182945117 -31.09969679059584
-36.067382721694365 -31.16369853367212
-36.07607099129733 -31.218138317119383
-36.08533479970836 -31.275386991065197
-36.09705655452359 -31.345651399560396
-36.10773686623938 -31.410752449584326
-36.120106378306865 -31.486037487617864
-36.13209198378627 -31.558296892506142
-36.142182055577834 -31.615031677903655
-36.153213781159046 -31.673257640988425
-36.16597224466978 -31.74278335583272
-36.17787845646484 -31.811416284304467
-36.18832512586591 -31.88421411498883
-36.196276823309915 -31.953444473468643
-36.2031534164008 -32.02524284680175
-36.20832338046067 -32.09234390301451
-36.21315273811365 -32.15674182345499
-36.21784728883368 -32.21918510012106
-36.22204476003688 -32.2813644523352
-36.22577220333276 -32.34344940880762
-36.22912302298028 -32.414676654167664
-36.232385479014155 -32.484967358090366
-36.23507846644572 -32.545692053016595
-36.23805558568612 -32.63330041594411
-36.23885774117609 -32.725570548563255
-36.23949141380833 -32.82122696672774
-36.24236629393769 -32.92511307058087
-36.245273344100724 -33.025701348334586
-36.24935629890527 -33.11200653198236
-36.25382600178834 -33.198579557716975
-36.25772153491418 -33.288072227884854
-36.26100097831011 -33.36440184684441
-36.26366639303908 -33.44407491025517
-36.266631868703726 -33.5248284551457
-36.26952359492648 -33.604110569043364
-36.27289174899902 -33.68783493298031
-36.27763897542191 -33.789398912953224
-36.28169301707925 -33.87568739773173
-36.284873924914024 -33.95796971235283
-36.28765210596192 -34.041408092479735
-36.290236657925384 -34.13091477250741
-36.29229765774981 -34.22591923244696
-36.29519140092256 -34.3243153740069
-36.29924565268223 -34.42918891522572
-36.30234825177408 -34.550053311782655
-36.30411301355337 -34.663368989455385
-36.305642207772344 -34.75756056073368
-36.30734483755775 -34.86453639807815
-36.308508956050936 -34.965374269594946
-36.31065075319796 -35.06542758806188
-36.31401515681914 -35.161070095312
-36.31809326396342 -35.26030357117017
-36.32173738266328 -35.359365385742805
-36.32488874561961 -35.48050581956159
-36.32707300008349 -35.600506238492684
-36.32799575377961 -35.702033853440895
-36.32858913961286 -35.80014356053279
-36.3286266127669 -35.89927655910293
-36.32837378033317 -35.99502276126806
-36.32793322987005 -36.09062102129059
-36.327352113975486 -36.18807836809757
-36.32832123104804 -36.29380094297239
-36.329836236043825 -36.398622508837114
-36.331755989448155 -36.50258880048818
-36.33303544324479 -36.60483041594349
-36.33364367558004 -36.70517070935756
-36.3336316438849 -36.79721717613195
-36.33391888393634 -36.89159759749413
-36.33453444782157 -36.987793064023755
-36.335876328867606 -37.08219509914786
-36.337631340191 -37.175089669288674
-36.33950133676445 -37.26626122247916
-36.34074269171274 -37.35563039931923
-36.34177008364233 -37.44326698376435
-36.34244228274548 -37.52942089750755
-36.34287305886293 -37.61432631744747
-36.34335251326534 -37.69798417924212
-36.34388762401511 -37.78050967138502
-36.34430882362054 -37.861668563784775
-36.3447446609404 -37.941433213187665
-36.34543283574767 -38.01986028478385
-36.34653604065512 -38.09693243240512
-36.34762306434454 -38.17264289188839
-36.34855744705456 -38.24720092900915
-36.349578956381485 -38.320661179208244
-36.35056771216172 -38.39305131226115
-36.35165449921569 -38.46427014693202
-36.35270729552933 -38.5341917790521
-36.35353452649181 -38.60293989912827
-36.35434347654986 -38.670598836924945
-36.355090628820776 -38.737140499296316
-36.355873913776676 -38.802497206930546
-36.35659161714486 -38.86669874832402
-36.357290367941175 -38.929990575512065
-36.35802467961217 -38.992323588477
-36.35883159002175 -39.053773103635855
-36.35959570391567 -39.11419741379516
-36.360312710567676 -39.17346871430858
-36.36098744799168 -39.231651091730704
-36.361615265783215 -39.28881544468658
-36.36220992602371 -39.34495541954014
-36.362791834172995 -39.40025585742987
-36.363330523844084 -39.45459312078153
-36.36377220214842 -39.508029960660316
-36.36411128084611 -39.560400735099456
-36.364412255489526 -39.61186641723388
-36.36463897622545 -39.662500288876046
-36.36481898352102 -39.71230657591295
-36.36500121057085 -39.76147663946485
-36.36509498684696 -39.80975842692564
-36.36509144271081 -39.857118013849366
-36.36506957307445 -39.90379358986736
-36.3649666075312 -39.94961559486296
-36.36486026976384 -39.99482455385381
-36.36476530881582 -40.039487607559
-36.364629779965256 -40.0834415775617
-36.36444082652508 -40.12665297807166
-36.364248656938145 -40.169346034838085
-36.36401571174148 -40.211399889776736
-36.36378012913418 -40.25292204706985
-36.36350218572539 -40.29381694551211
-36.3631876791007 -40.334110877943786
-36.36285217314767 -40.37384907510716
-36.36247603752306 -40.41296578225672
-36.362113028597044 -40.451636732450844
-36.361712389730954 -40.489741398454484
-36.36130851026804 -40.527378205260725
-36.36082033614535 -40.56433772718086
-36.36022525090655 -40.60058309503513
-36.359615125343474 -40.63635371418796
-36.35902106146036 -40.67173526869417
-36.35843981372212 -40.70672915404533
-36.35780800139806 -40.74118610850828
-36.357071788898466 -40.77498609428799
-36.35633057436907 -40.80837629351353
-36.355498442418195 -40.84116149628649
-36.35454166242175 -40.87327879586153
-36.35346136896409 -40.904742327085586
-36.352258277760725 -40.935564229667726
-36.35093161409838 -40.9657566284253
-36.34948153303755 -40.995331889104946
-36.34790825675002 -41.024301534618445
-36.34621259537018 -41.052677345694406
-36.344395203965114 -41.08047098539217
-36.3424739155765 -41.10772742823875
-36.340488835810646 -41.13453503551565
-36.33838259713788 -41.16079140103456
