# l, b
-163.65277569318255 -89.99938831899685
-169.59207414015225 -89.9973606444204
-170.63741952280523 -89.98731701549838
-172.31203308414288 -89.93941984496892
-176.60268870139157 -89.83576697680398
-173.93699317429878 -89.66317891167647
-171.11539202096978 -89.40263331216529
-172.01398297785028 -89.11471533741361
-173.25689735782854 -88.87318765807139
-175.68482576838377 -88.74770313852468
-177.33904625502592 -88.69016662406
-178.10024704188652 -88.70082875997055
-179.66004872394822 -88.76115928794448
176.9711476275069 -88.82762960579126
173.9212023259542 -88.84248654127632
170.10851647415595 -88.84064521073657
168.00165812839037 -88.8518278337563
166.5561601276224 -88.8529152400172
165.35789489761441 -88.85068983142129
163.8269399789866 -88.81987189605009
162.97213369793755 -88.7549204661177
162.6030084119652 -88.69832357239214
162.56082959833515 -88.65111191640035
162.45662334403056 -88.60622343688892
162.3893684444871 -88.57575486738891
162.54660581676123 -88.53848611932611
163.03724442108134 -88.49030203507614
163.61217428836892 -88.42853697469745
164.63469746495727 -88.33983109319928
165.78124747189332 -88.24443882111603
166.95171460409247 -88.14230394539014
168.22367066352695 -88.01400667739094
169.4439030948301 -87.88360193790433
170.2679138460893 -87.76559704684931
170.49671134831996 -87.65637133457788
170.461379104536 -87.57716246257255
170.3230233711573 -87.50683745950118
170.1068165714357 -87.40751443150373
169.96630155901326 -87.28542424035223
169.9832834513649 -87.17322838273176
169.96321264661873 -87.06258260459948
169.96381788753914 -86.9399486872811
169.99881537402413 -86.80985412280944
170.108831098829 -86.67992433140313
170.23266236474691 -86.54307787483769
170.29369687059642 -86.40096186665163
170.31565037669768 -86.30550683678732
170.31632972608645 -86.21483255829745
170.29953834873635 -86.10908358055546
170.2448400925893 -86.00363303584096
170.159017129649 -85.89668736441318
170.04262451296123 -85.7832885619866
169.93035432525386 -85.67864807768999
169.8150192525371 -85.56878346628758
169.72002173060034 -85.45391249961556
169.65708192435315 -85.37276613208454
169.5909872458456 -85.27825916963467
169.56818002307062 -85.17363102609457
169.55056428961225 -85.05693758420362
169.49668426645033 -84.91701330966565
169.40854505295107 -84.78137835988777
169.3266677156469 -84.65604421714522
169.26563209071514 -84.53937284412541
169.21250500210428 -84.43134865090846
169.1728132620333 -84.32082063871289
169.11478464165893 -84.20977031710558
169.04173484454222 -84.09340032868826
169.0276584067421 -83.96055568887402
169.0529984712096 -83.83964804628638
169.05748196198513 -83.72438897909464
169.02831325883545 -83.59875149675288
168.9777604558645 -83.4905010795048
168.9011001338593 -83.38339812268534
168.80955859866856 -83.28017080191965
168.68878861596252 -83.18428788895994
168.5724741135834 -83.08989320809209
168.4782751588997 -82.99329983129607
168.40264805433807 -82.89814709149896
168.3528690509691 -82.80787530685362
168.3134740387427 -82.71959877545136
168.26469055609516 -82.6277554000348
168.22403421373778 -82.53868971733696
168.18706585455712 -82.46189983259067
168.14541912029284 -82.37766713964902
168.10677894271706 -82.27792392971203
168.07269893992088 -82.17968674912338
168.0219821240704 -82.08891369384244
167.94283400706303 -82.00524154639679
167.85473033594147 -81.91850855584222
167.786874193434 -81.83146053415258
167.7625921210799 -81.74228985029579
167.77680826275554 -81.64174307846064
167.81916949893878 -81.5485260748164
167.86277780519532 -81.46875876679817
167.90205982828462 -81.38139698240798
167.94265468528485 -81.28782309918986
167.99490943522989 -81.18657885750399
168.05881657500603 -81.06019853766576
168.10501893398703 -80.93519160826924
