# ==========>  Spectrum: Auger combined spectrum (ICRC 2021) <============ 
# E*J in  [m^-2 s^-1 sr^-1] units
# log10E = center of the energy bin 
# log10E    E*J       Err_up       Err_low  
15.85 5.397e-08 5.784e-10 5.722e-10
15.95 3.348e-08 3.583e-10 3.545e-10
16.05 2.087e-08 2.172e-10 2.150e-10
16.15 1.295e-08 1.294e-10 1.282e-10
16.25 8.003e-09 7.723e-11 7.649e-11
16.35 4.994e-09 4.763e-11 4.718e-11
16.45 3.165e-09 3.107e-11 3.077e-11
16.55 2.028e-09 2.080e-11 2.059e-11
16.65 1.305e-09 1.435e-11 1.419e-11
16.75 8.552e-10 1.014e-11 1.002e-11
16.85 5.417e-10 7.024e-12 6.935e-12
16.95 3.503e-10 4.926e-12 4.858e-12
17.05 2.296e-10 4.840e-13 4.828e-13
17.15 1.457e-10 3.918e-13 3.906e-13
17.25 9.024e-11 3.118e-13 3.105e-13
17.35 5.474e-11 2.448e-13 2.434e-13
17.45 3.287e-11 1.910e-13 1.896e-13
17.55 1.958e-11 1.483e-13 1.469e-13
17.65 1.170e-11 1.152e-13 1.138e-13
17.75 6.870e-12 8.887e-14 8.745e-14
17.85 4.092e-12 7.169e-14 7.046e-14
17.95 2.467e-12 5.614e-14 5.490e-14
18.05 1.452e-12 4.349e-14 4.224e-14
18.15 8.315e-13 1.463e-14 1.430e-14
18.25 4.976e-13 1.000e-14 9.749e-15
18.35 2.870e-13 6.710e-15 6.515e-15
18.45 1.732e-13 5.947e-16 5.923e-16
18.55 1.020e-13 4.631e-16 4.606e-16
18.65 6.083e-14 3.128e-16 3.104e-16
18.75 3.886e-14 2.527e-16 2.502e-16
18.85 2.738e-14 2.151e-16 2.125e-16
18.95 1.916e-14 1.804e-16 1.778e-16
19.05 1.335e-14 1.512e-16 1.487e-16
19.15 9.232e-15 1.265e-16 1.240e-16
19.25 5.784e-15 1.002e-16 9.766e-17
19.35 3.744e-15 8.123e-17 7.863e-17
19.45 2.295e-15 6.428e-17 6.163e-17
19.55 1.449e-15 5.168e-17 4.901e-17
19.65 8.356e-16 4.016e-17 3.751e-17
19.75 3.551e-16 2.649e-17 2.382e-17
19.85 1.708e-16 1.908e-17 1.642e-17
19.95 4.374e-17 1.120e-17 8.220e-18
20.05 1.782e-17 8.518e-18 5.103e-18
20.15 1.017e-17 6.844e-18 4.017e-18
20.25 0.000e+00 4.158e-18 0.000e+00
20.35 0.000e+00 4.160e-18 0.000e+00
