PGC            HYPERLEDA_NAME                    COUNTERPART_NAME                 OBJECT_TYPE   RA          DEC         (m-M)       ERR_(m-M)    DL[Mpc]     ERR_LN(DL)  Kt          ERR_Kt      
29128          NGC3109                           NGC3109                          G             150.78      -26.16      25.56       0.02        1.29        0.007       9.57        0.40        
29653          PGC029653                         PGC029653                        G             152.75      -4.69       25.59       0.03        1.31        0.013       11.31       0.56        
28913          UGC05373                          UGC05373                         G             150.00      5.33        25.79       0.01        1.44        0.006       10.76       0.23        
100169         PGC100169                         PGC100169                        G             31.52       69.00       26.15       0.20        1.70        0.092       9.69        0.24        
67908          IC5152                            IC5152                           G             330.67      -51.30      26.46       0.03        1.96        0.012       9.05        0.36        
3238           NGC0300                           NGC0300                          G             13.72       -37.68      26.53       0.02        2.03        0.007       6.58        0.36        
1014           NGC0055                           NGC0055                          G             3.72        -39.20      26.62       0.01        2.11        0.006       6.34        0.18        
9140           PGC009140                         PGC009140                        G             36.18       -73.51      26.63       0.07        2.12        0.032       10.83       0.10        
13115          UGC02773                          UGC02773                         G             53.03       47.79       26.69       0.20        2.18        0.092       9.80        0.10        
39573          IC3104                            IC3104                           G             184.69      -79.73      26.86       0.02        2.36        0.007       9.24        0.14        
60849          IC4662                            IC4662                           G             266.79      -64.64      27.03       0.01        2.55        0.006       9.45        0.21        
47495          UGC08508                          UGC08508                         G             202.68      54.91       27.07       0.02        2.60        0.011       11.51       0.10        
40904          UGC07577                          UGC07577                         G             186.92      43.50       27.08       0.02        2.60        0.011       10.45       0.20        
54392          ESO274-001                        ESO274-001                       G             228.56      -46.81      27.24       0.06        2.80        0.026       8.30        0.39        
51472          UGC09240                          UGC09240                         G             216.18      44.53       27.25       0.02        2.82        0.008       10.89       0.13        
39023          NGC4190                           NGC4190                          G             183.44      36.63       27.26       0.04        2.83        0.020       11.40       0.77        
14241          PGC014241                         PGC014241                        G             59.96       67.14       27.37       0.03        2.98        0.012       8.24        0.16        
4126           NGC0404                           NGC0404                          G             17.36       35.72       27.37       0.02        2.98        0.007       7.53        0.02        
39225          NGC4214                           NGC4214                          G             183.91      36.33       27.37       0.01        2.98        0.002       8.09        0.21        
