BAT_NAME(BAT105)  HYPERLEDA_NAME             COUNTERPART_NAME           TYPE_AGN       RA        DEC       (m-M)     ERR_(m-M)   DL[Mpc]   ERR_LN(DL)   FLUX(14-195keV)[1E-12erg.cm-2.s-1] ERR_FLUX    FLAG_(m_M)_(Hyperleda/Ned)         
J1305.4-4928      NGC4945                    NGC4945                    Sy2            196.37    -49.47    27.70     0.02        3.47      0.009        282.1                              N/A         H                                  
J0955.5+6907      NGC3031                    M81                        Sy1.9          148.94    69.06     27.78     0.01        3.60      0.005        20.3                               N/A         H                                  
J1325.4-4301      NGC5128                    CenA                       BeamedAGN      201.37    -43.02    27.83     0.03        3.68      0.014        1346.3                             N/A         H                                  
J1412.9-6522      ESO097-013                 Circinus                   Sy2            213.29    -65.34    28.12     0.36        4.21      0.166        273.2                              N/A         H                                  
J1210.5+3924      NGC4151                    NGC4151                    Sy1.5          182.64    39.41     28.39     1.65        4.76      0.760        618.9                              N/A         H                                  
J1202.5+3332      NGC4395                    NGC4395                    Sy2            186.45    33.53     28.39     0.01        4.76      0.005        27.5                               N/A         H                                  
J0420.0-5457      NGC1566                    NGC1566                    Sy1.5          64.96     -54.94    29.13     1.16        6.70      0.534        19.5                               N/A         H                                  
J1219.4+4720      NGC4258                    M106                       Sy1.9          184.75    47.29     29.41     0.01        7.62      0.005        23.0                               N/A         H                                  
J1329.9+4719      NGC5194                    M51                        Sy2            202.48    47.20     29.67     0.02        8.59      0.009        13.3                               N/A         H                                  
J0242.6+0000      NGC1068                    NGC1068                    Sy1.9          40.66     0.00      30.12     0.34        10.6      0.157        37.9                               N/A         H                                  
J1717.1-6249      NGC6300                    NGC6300                    Sy2            259.25    -62.83    30.15     0.09        10.7      0.041        96.4                               N/A         H                                  
J1203.0+4433      NGC4051                    NGC4051                    Sy1.5          180.78    44.52     30.28     0.35        11.4      0.161        42.5                               N/A         H                                  
J1652.0-5915B     NGC6221                    NGC6221                    Sy2            253.18    -59.23    30.34     0.62        11.7      0.286        22.4                               N/A         H                                  
J1209.4+4340      NGC4138                    NGC4138                    Sy2            182.35    43.70     30.70     0.25        13.8      0.115        24.4                               N/A         H                                  
J1157.8+5529      NGC3998                    NGC3998                    Sy1.9          179.46    55.44     30.73     0.19        14.0      0.087        13.2                               N/A         H                                  
J2235.9-2602      NGC7314                    NGC7314                    Sy1.9          338.95    -26.05    31.03     0.25        16.1      0.115        57.4                               N/A         H                                  
J1432.8-4412      NGC5643                    NGC5643                    Sy2            218.19    -44.15    31.03     1.00        16.1      0.461        16.8                               N/A         H                                  
J1001.7+5543      NGC3079                    NGC3079                    Sy2            150.46    55.67     31.16     0.32        17.1      0.147        36.7                               N/A         H                                  
J1341.9+3537      NGC5273                    NGC5273                    Sy1.5          205.47    35.66     31.16     0.12        17.1      0.055        16.0                               N/A         H                                  
J1207.8+4311      NGC4117                    NGC4117                    Sy2            181.95    43.12     31.18     0.94        17.2      0.433        12.9                               N/A         H                                  
J0333.6-3607      NGC1365                    NGC1365                    Sy2            53.39     -36.14    31.19     0.02        17.3      0.009        63.5                               N/A         H                                  
J0241.3-0816      NGC1052                    NGC1052                    BeamedAGN      40.29     -8.24     31.22     0.11        17.5      0.051        31.4                               N/A         H                                  
J1132.7+5301      NGC3718                    NGC3718                    Sy1.9          173.22    53.02     31.25     0.89        17.8      0.410        12.2                               N/A         H                                  
J1206.2+5243      NGC4102                    NGC4102                    Sy2            181.59    52.71     31.29     0.25        18.1      0.115        32.1                               N/A         H                                  
J2318.4-4223      NGC7582                    NGC7582                    Sy2            349.60    -42.37    31.41     0.10        19.1      0.046        82.3                               N/A         H                                  
J1304.3-0532      NGC4941                    NGC4941                    Sy2            196.09    -5.53     31.50     0.34        20.0      0.157        20.2                               N/A         H                                  
J1023.5+1952      NGC3227                    NGC3227                    Sy1.5          155.87    19.86     31.51     0.28        20.0      0.129        112.5                              N/A         H                                  
J1217.3+0714      NGC4235                    NGC4235                    Sy1.2          184.29    7.19      31.55     0.72        20.4      0.332        38.6                               N/A         H                                  
J1225.8+1240      NGC4388                    NGC4388                    Sy2            186.45    12.67     31.65     0.86        21.4      0.396        278.9                              N/A         H                                  
J2209.4-4711      NGC7213                    NGC7213                    BeamedAGN      332.33    -47.17    31.86     0.68        23.6      0.313        39.0                               N/A         H                                  
J1942.6-1024      NGC6814                    NGC6814                    Sy1.5          295.66    -10.32    31.92     0.66        24.2      0.304        64.5                               N/A         H                                  
J0856.0+7812      NGC2655                    NGC2655                    Sy2            133.90    78.20     31.92     0.66        24.2      0.304        12.8                               N/A         H                                  
J0329.4-2157      PGC135069                  2MASXJ03291029-2201166     UnknownAGN     52.35     -21.95    31.97     0.64        24.8      0.295        10.5                               N/A         H                                  
J0601.9-8636      ESO005-004                 ESO005-G004                Sy2            91.47     -86.61    31.99     0.32        25.0      0.147        30.9                               N/A         H                                  
J1413.2-0312      NGC5506                    NGC5506                    Sy1.9          213.31    -3.21     32.25     0.57        28.2      0.262        239.4                              N/A         H                                  
J2302.1+1557      NGC7465                    NGC7465                    Sy2            345.52    15.95     32.38     0.53        29.9      0.244        19.0                               N/A         H                                  
