#i	X	Y	Z
0	-8.500	-0.000	0.000
0	-8.500	-0.000	0.000
0	-8.501	-0.000	0.002
0	-8.506	-0.002	0.010
0	-8.515	-0.005	0.027
0	-8.527	-0.009	0.047
0	-8.543	-0.015	0.077
0	-8.559	-0.020	0.105
0	-8.573	-0.025	0.132
0	-8.590	-0.030	0.161
0	-8.601	-0.033	0.180
0	-8.613	-0.037	0.202
0	-8.625	-0.041	0.223
0	-8.640	-0.045	0.248
0	-8.655	-0.050	0.274
0	-8.669	-0.054	0.299
0	-8.688	-0.059	0.331
0	-8.707	-0.065	0.363
0	-8.733	-0.072	0.408
0	-8.751	-0.077	0.439
0	-8.772	-0.082	0.475
0	-8.790	-0.087	0.506
0	-8.812	-0.094	0.544
0	-8.832	-0.099	0.577
0	-8.852	-0.104	0.610
0	-8.870	-0.109	0.642
0	-8.889	-0.114	0.672
0	-8.901	-0.117	0.693
0	-8.914	-0.120	0.713
0	-8.927	-0.123	0.736
0	-8.942	-0.127	0.760
0	-8.958	-0.131	0.788
0	-8.977	-0.136	0.819
0	-8.996	-0.141	0.851
0	-9.014	-0.145	0.882
0	-9.027	-0.149	0.903
0	-9.041	-0.152	0.925
0	-9.054	-0.156	0.947
0	-9.070	-0.160	0.973
0	-9.085	-0.164	0.998
0	-9.099	-0.167	1.021
0	-9.114	-0.172	1.046
0	-9.132	-0.177	1.074
0	-9.149	-0.182	1.101
0	-9.166	-0.186	1.128
0	-9.193	-0.194	1.169
0	-9.221	-0.202	1.213
0	-9.242	-0.208	1.245
0	-9.262	-0.213	1.276
0	-9.280	-0.218	1.304
0	-9.297	-0.223	1.331
0	-9.317	-0.228	1.363
0	-9.339	-0.234	1.397
0	-9.362	-0.240	1.433
0	-9.386	-0.246	1.470
0	-9.407	-0.252	1.502
0	-9.426	-0.257	1.532
0	-9.443	-0.261	1.557
0	-9.460	-0.266	1.585
0	-9.477	-0.271	1.611
0	-9.495	-0.275	1.639
0	-9.514	-0.280	1.670
0	-9.532	-0.285	1.698
0	-9.551	-0.290	1.728
0	-9.568	-0.295	1.756
0	-9.588	-0.300	1.788
0	-9.608	-0.305	1.820
0	-9.627	-0.310	1.851
0	-9.646	-0.315	1.882
0	-9.667	-0.320	1.917
0	-9.692	-0.326	1.958
0	-9.719	-0.333	2.002
0	-9.746	-0.340	2.046
0	-9.770	-0.346	2.085
0	-9.795	-0.352	2.126
