# log_{10}(E/GeV)  E^{2}J [GeV cm^{-2} sr^{-1} s^{-1}] (zmax = 1, m = 3)
3.7   1.02452e-14   
3.8   7.11528e-15   
3.9   1.25192e-14   
4     2.72434e-14   
4.1   3.92284e-14   
4.2   3.8154e-14    
4.3   7.05065e-14   
4.4   8.48674e-14   
4.5   1.04942e-13   
4.6   1.17934e-13   
4.7   1.85353e-13   
4.8   3.62627e-13   
4.9   3.13702e-13   
5     1.5761e-13    
5.1   2.40851e-13   
5.2   3.74251e-13   
5.3   4.55689e-13   
5.4   8.06501e-13   
5.5   1.13527e-12   
5.6   1.89818e-12   
5.7   1.89336e-12   
5.8   3.47426e-12   
5.9   3.7006e-12    
6     6.01254e-12   
6.1   1.0392e-11    
6.2   1.24269e-11   
6.3   1.44462e-11   
6.4   2.18319e-11   
6.5   3.02938e-11   
6.6   3.69478e-11   
6.7   3.41391e-11   
6.8   3.76738e-11   
6.9   6.00152e-11   
7     6.59336e-11   
7.1   6.57588e-11   
7.2   7.04776e-11   
7.3   6.92447e-11   
7.4   6.62266e-11   
7.5   7.83602e-11   
7.6   8.1504e-11    
7.7   7.73649e-11   
7.8   8.39923e-11   
7.9   7.80344e-11   
8     7.98383e-11   
8.1   8.84286e-11   
8.2   1.09021e-10   
8.3   1.29726e-10   
8.4   1.44389e-10   
8.5   1.79379e-10   
8.6   2.2802e-10    
8.7   2.89887e-10   
8.8   3.63836e-10   
8.9   4.45915e-10   
9     5.47508e-10   
9.1   6.45643e-10   
9.2   7.16099e-10   
9.3   7.65592e-10   
9.4   7.85992e-10   
9.5   7.83381e-10   
9.6   7.40024e-10   
9.7   6.46633e-10   
9.8   5.3815e-10    
9.9   4.29171e-10   
10    3.16751e-10   
10.1  2.15713e-10   
10.2  1.42238e-10   
10.3  8.9059e-11    
10.4  5.14267e-11   
10.5  2.97677e-11   
10.6  1.61299e-11   
10.7  8.03612e-12   
10.8  4.01106e-12   
10.9  1.75192e-12   
