# l, b
-107.9996362482683 50.00006850365204
-107.99781768456756 50.00041097707302
-107.98872982018825 50.00212221039195
-107.94341692890667 50.01064962309668
-107.72036490823085 50.052512060689025
-107.378861895597 50.116299466931274
-107.06355608022595 50.17500790923163
-106.78459088317123 50.227023469108524
-106.55302056092557 50.270550879779556
-106.37845274922414 50.30394589700487
-106.26632571369635 50.32612060319225
-106.21648018261281 50.336790393822916
-106.22387812904266 50.33642227923656
-106.28066503223378 50.325971471989234
-106.37821221678888 50.30659179050926
-106.5084243087359 50.279432598728285
-106.66431305313318 50.245536140678134
-106.84010653506077 50.20580485639601
-107.03113731702815 50.16100614801214
-107.23365588050504 50.111793182997374
-107.44463930262845 50.058730580911906
-107.6616216404916 50.00232024567461
-107.88255185051732 49.94302595103402
-108.10567687739176 49.88129675532592
-108.32944549842206 49.817589676721504
-108.55242951434872 49.75239161507147
-108.77326164605324 49.68623928987347
-108.99059334416718 49.619733988141455
-109.20307945131788 49.55354562871262
-109.40939765621238 49.48839948151633
-109.6083053308799 49.425041192225514
-109.79872337811706 49.36418303680847
-109.97982189269553 49.30644404383611
-110.15107739967722 49.252301939488305
-110.31228287664264 49.20207053099929
-110.46351250178405 49.15590481243202
-110.60505870816738 49.11382594089038
-110.73736225259645 49.075754697035244
-110.86094995814167 49.04154427631916
-110.97638659817171 49.011007514055265
-111.08424142300419 48.9839371706048
-111.18506691276328 48.960119880805905
-111.27938657805961 48.939345109356104
-111.36768893727482 48.921410499846004
-111.45042545386501 48.906124770358396
-111.52801086722883 48.89330901548404
-111.60082487243258 48.882797016217545
-111.66921448174351 48.87443496081629
-111.73349665820429 48.86808083821564
-111.79396097982739 48.86360366911228
-111.85087219984912 48.860882675999754
-111.90447263453738 48.859806452158224
-111.95498434977132 48.86027216340762
-112.00261114069747 48.86218480012542
-112.04754031154155 48.86545648709473
-112.08994426915788 48.87000585286323
-112.12998194667229 48.875757456952726
-112.16780007420338 48.88264127148806
-112.20353431309279 48.89059221299863
-112.23731026892798 48.8995497198959
-112.26924439723646 48.90945737120148
-112.29944481427299 48.92026254234541
-112.32801202391164 48.93191609418113
-112.35503957034925 48.94437209171965
-112.38061462514779 48.95758754943885
-112.40481851609361 48.97152220035975
-112.42772720442797 48.98613828639058
-112.44941171619344 49.00140036771911
-112.46993853273605 49.01727514928452
-112.48936994478822 49.033731322582284
-112.50776437402378 49.05073942125252
