# l, b
-60.00007566586972 -30.000222180799966
-60.00044545576968 -30.001425494006675
-60.00229543111276 -30.0074387696754
-60.0115643808732 -30.037494442295774
-60.058386238161034 -30.187499380076343
-60.13496234527471 -30.42640896707838
-60.21358391130963 -30.66363852781793
-60.293524115979594 -30.89779777189936
-60.35178537783707 -31.098353251211826
-60.39556936743359 -31.275686231856696
-60.43333135201554 -31.441051608466598
-60.4694511133676 -31.599914973350742
-60.506434967943406 -31.755179508759166
-60.545735253362444 -31.908432534062605
-60.58811764530542 -32.060514959469344
-60.63387481329359 -32.2118257321996
-60.68298282496514 -32.36250542249282
-60.735224160644506 -32.51255263172032
-60.79028012264291 -32.66189674133089
-60.84779426730817 -32.81044096219256
-60.90741162402509 -32.95808584140858
-60.96880011772454 -33.10474070465345
-61.03166024780866 -33.25032817051816
-61.095727717837136 -33.394784993489935
-61.1607722303234 -33.53806115555113
-61.22659445950907 -33.68011826480273
-61.293022372142005 -33.820927804178226
-61.35990752605918 -33.96046948315713
-61.427121651971596 -34.09872979092903
-61.49455363971012 -34.235700772326794
-61.562106951841805 -34.371379012760535
-61.62969743929051 -34.50576480509889
-61.69725151331865 -34.63886146881071
-61.76470462284316 -34.77067479377934
-61.83199998805359 -34.901212585026904
-61.89908754650972 -35.030484288693195
-61.96592307410793 -35.15850068337848
-62.03246744941154 -35.28527362416514
-62.0986860354363 -35.4108158292931
-62.16454815913597 -35.53514070215296
-62.23002666535042 -35.658262179720154
-62.29509753706503 -35.78019460507433
-62.359739572989696 -35.90095262083149
-62.42393410653241 -36.02055107745003
-62.4876647616181 -36.13900495511236
-62.55091723923779 -36.25632929706446
-62.6136791297467 -36.37253915268634
-62.675939746838935 -36.487649528875735
-62.73768997985979 -36.60167534857206
-62.79892216170809 -36.714631415444295
-62.85962995006087 -36.82653238392343
-62.919808220041936 -36.93739273388807
-62.97945296677349 -37.04722674941556
-63.0385612165095 -37.15604850109597
-63.09713094526251 -37.26387183147633
-63.15516100401076 -37.37071034326109
-63.21265104971644 -37.47657738994252
-63.2701380163323 -37.58097426924202
-63.32839634086666 -37.68315144268212
-63.3873536639475 -37.78315191726436
-63.4469472700561 -37.88101250974476
-63.50711827587673 -37.97676905011822
-63.567811323169416 -38.0704564780587
-63.62897430328188 -38.16210892730977
-63.690558109595834 -38.25175979947953
-63.75251641467782 -38.339441828509415
-63.814805469312134 -38.42518713692697
-63.877383920945185 -38.50902728485705
-63.940212649373876 -38.59099331264706
-64.00325461777336 -38.671115777859995
-64.06647473738754 -38.74942478730046
-64.12983974440435 -38.82595002466098
-64.19331808771052 -38.90072077430891
-64.25687982637196 -38.973765941674735
-64.32049653581795 -39.04511407065088
-64.38414122182364 -39.114793358364096
-64.44778824148692 -39.18283166764469
-64.51141323048626 -39.249256537479646
-64.57499303598412 -39.31409519170571
-64.63850565461141 -39.37737454617002
-64.7019301750295 -39.43912121456119
-64.76524672462156 -39.49936151309156
-64.82843641991276 -39.558121464191494
-64.89148132036259 -39.615426799358914
-64.95436438521014 -39.67130296129154
-65.01706943308733 -39.72577510541484
-65.07958110414552 -39.778868100906685
-65.1418848244673 -39.830606531307396
-65.20396677255987 -39.88101469479422
-65.26581384774693 -39.93011660419036
-65.32741364029596 -39.97793598676937
-65.38875440313421 -40.02449628390957
-65.44982502502178 -40.06982065064551
-65.51061500506424 -40.113931955158
-65.57111442845893 -40.15685277823861
-65.63131394337984 -40.198605412759946
-65.69120473891607 -40.23921186317825
-65.75077852398688 -40.27869384509133
-65.81002750716459 -40.31707278487125
-65.86894437734297 -40.354369819387856
-65.92752228519547 -40.39060579583663
-65.98575482537242 -40.425801271681884
-66.04363601939205 -40.45997651472384
-66.10116029918385 -40.49315150329626
-66.15832249124671 -40.525345926599826
-66.21511780138884 -40.5565791851742
-66.2715418000177 -40.5868703915111
-66.32759040795284 -40.61623837080897
-66.38325988273552 -40.644701661869114
-66.43854680541234 -40.67227851813181
-66.49344806777127 -40.698986908850635
-66.54796086001035 -40.724844520402115
-66.60208265882159 -40.74986875772754
-66.65581121587266 -40.77407674590294
-66.70914454667171 -40.79748533183318
-66.76208091980054 -40.82011108606545
-66.81461884650291 -40.841970304717435
-66.86675707061563 -40.863079011515026
-66.91849455883073 -40.88345295993421
-66.96983049127765 -40.90310763544215
-67.02076425241516 -40.92205825783146
-67.07129542222333 -40.940319783642785
-67.12142376768601 -40.95790690866977
-67.17114923455516 -40.974834070541085
-67.22047193938863 -40.991115451374256
-67.26939216185305 -41.00676498049565
-67.31791033728436 -41.02179633722151
-67.36602704949834 -41.03622295369496
-67.41374302384416 -41.050058017773765
-67.46105912049356 -41.06331447596396
-67.50797632795961 -41.076005036394726
-67.554495756838 -41.08814217182962
-67.6006186337647 -41.09973812270996
-67.64634629558404 -41.110804900225745
-67.69168018372096 -41.12135428941025
-67.7366218387519 -41.131397852254025
-67.78117289516831 -41.1409469308346
-67.82533507632779 -41.15001265045832
-67.86911018958683 -41.15860592281049
-67.91250012161058 -41.166737449110826
-67.95550683385372 -41.174417723270885
-67.99813235820834 -41.181657035050314
-68.04037879281309 -41.188465473209405
-68.08224829801935 -41.19485292865482
-68.12374309250946 -41.200829097576296
-68.16486544956258 -41.206403484571666
-68.20561769346376 -41.21158540575804
-68.24600219605152 -41.21638399186704
-68.28602137340022 -41.220808191321964
-68.32567768263249 -41.22486677329514
-68.36497361885809 -41.22856833074372
-68.40391171223496 -41.231921283422146
-68.44249452514867 -41.23493388087008
-68.48072464950663 -41.23761420537406
-68.5186047041429 -41.23997017490188
-68.55613733233074 -41.24200954600833
-68.59332519939863 -41.24373991671148
-68.6301709904469 -41.24516872933812
-68.66667740816125 -41.24630327333783
-68.70284717072019 -41.24715068806479
-68.73868300979312 -41.24771796552637
-68.77418766862587 -41.24801195309833
-68.8093639002109 -41.24803935620552
-68.84421446553912 -41.24780674096804
-68.87874213193052 -41.2473205368121
-68.91294967144084 -41.24658703904544
-68.94683985934165 -41.24561241139692
-68.98041547267114 -41.24440268851995
-69.01367928885328 -41.24296377845978
-69.04663408438259 -41.241301465084206
-69.0792826335724 -41.239421410477945
-69.11162770736435 -41.23732915730027
-69.1436720721964 -41.235030131106214
-69.17541848892783 -41.23252964263117
-69.2068697118187 -41.22983289003895
-69.2380284875617 -41.22694496113366
-69.26889755436477 -41.2238708355351
-69.29947964108212 -41.22061538681831
-69.32977746639214 -41.217183384616995
-69.35979373802034 -41.2135794966915
-69.38953115200525 -41.2098082909613
-69.41899239200612 -41.20587423750218
-69.44818012865039 -41.20178171050874
-69.47709701891957 -41.19753499022225
-69.50574570557183 -41.19313826482414
-69.53412881660003 -41.188595632295765
-69.56224896472361 -41.1839111022444
-69.5901087469129 -41.1790885976962
-69.61771074394495 -41.17413195685611
-69.64505751998897 -41.169044934835604
-69.67215162222051 -41.16383120534808
-69.69899558046338 -41.15849436237276
-69.72559190685752 -41.15303792178725
-69.75194309555245 -41.147465322969396
-69.77805162242461 -41.14177993036855
-69.80391994481802 -41.13598503504694
-69.8295505013068 -41.1300838561915
-69.85494571147916 -41.12407954259643
-69.88010797574135 -41.117975174117284
-69.90503967514111 -41.11177376309656
-69.92974317120948 -41.10547825576157
-69.95422080582028 -41.0990915335949
-69.97847490106653 -41.092616414677984
-70.00250775915278 -41.08605565500796
-70.02632166230289 -41.0794119497887
-70.04991887268244 -41.072687934695985
-70.0733016323349 -41.06588618711751
-70.09647216313138 -41.05900922736817
-70.11943266673272 -41.052059519880906
-70.14217735427032 -41.04509240130291
